,number,value,datetime_start,datetime_complete,duration,params_alpha,params_l1_ratio,system_attrs_fixed_params,state
0,0,1.1053028510639076,2024-06-18 09:27:40.730357,2024-06-18 09:27:42.032575,0 days 00:00:01.302218,1.0,0.5,"{'alpha': 1.0, 'l1_ratio': 0.5}",COMPLETE
1,1,1.0494484241562199,2024-06-18 09:27:42.054218,2024-06-18 09:27:42.359705,0 days 00:00:00.305487,0.5,1.0,"{'alpha': 0.5, 'l1_ratio': 1}",COMPLETE
2,2,0.40271968807217656,2024-06-18 09:27:42.368560,2024-06-18 09:27:44.355346,0 days 00:00:01.986786,1e-08,0.0,"{'alpha': 1e-08, 'l1_ratio': 0.0}",COMPLETE
3,3,0.9419211518908476,2024-06-18 09:27:44.362322,2024-06-18 09:27:46.733563,0 days 00:00:02.371241,1.0,0.0,"{'alpha': 1.0, 'l1_ratio': 0.0}",COMPLETE
4,4,0.40271503728474534,2024-06-18 09:27:46.737518,2024-06-18 09:27:48.686763,0 days 00:00:01.949245,1e-07,1.0,"{'alpha': 1e-07, 'l1_ratio': 1.0}",COMPLETE
5,5,1.1123729991041607,2024-06-18 09:27:48.693222,2024-06-18 09:27:48.980373,0 days 00:00:00.287151,1.0,1.0,"{'alpha': 1.0, 'l1_ratio': 1.0}",COMPLETE
6,6,0.40288086647419813,2024-06-18 09:27:48.990552,2024-06-18 09:27:51.226341,0 days 00:00:02.235789,1e-07,0.5,"{'alpha': 1e-07, 'l1_ratio': 0.5}",COMPLETE
7,7,0.8565509672897665,2024-06-18 09:27:51.232247,2024-06-18 09:27:54.192261,0 days 00:00:02.960014,0.5,0.0,"{'alpha': 0.5, 'l1_ratio': 0.0}",COMPLETE
8,8,0.3991014779361176,2024-06-18 09:27:54.198454,2024-06-18 09:27:55.051039,0 days 00:00:00.852585,0.0009270887890084016,0.8753766768260866,,COMPLETE
9,9,1.1123729991041607,2024-06-18 09:27:55.055165,2024-06-18 09:27:55.208521,0 days 00:00:00.153356,762.2729279130747,0.39447399868994504,,COMPLETE
10,10,1.1123729991041607,2024-06-18 09:27:55.215231,2024-06-18 09:27:55.368652,0 days 00:00:00.153421,409.0507550952269,0.2687417152357854,,COMPLETE
11,11,1.1123729991041607,2024-06-18 09:27:55.371176,2024-06-18 09:27:55.550352,0 days 00:00:00.179176,661.7082291768232,0.16860851438496482,,COMPLETE
12,12,0.39919996945771113,2024-06-18 09:27:55.556987,2024-06-18 09:27:57.200467,0 days 00:00:01.643480,0.00017721219961968883,0.7098708277430394,,COMPLETE
13,13,0.3999990511816125,2024-06-18 09:27:57.205936,2024-06-18 09:27:58.078696,0 days 00:00:00.872760,0.0018711871050944458,0.9946620060860768,,COMPLETE
14,14,1.1123729991041607,2024-06-18 09:27:58.080318,2024-06-18 09:27:58.179113,0 days 00:00:00.098795,404.02538695316844,0.573990668993808,,COMPLETE
15,15,0.4006667692823326,2024-06-18 09:27:58.180732,2024-06-18 09:27:59.150061,0 days 00:00:00.969329,1.5366067746706206e-05,0.18969742975567916,,COMPLETE
16,16,1.1123729991041607,2024-06-18 09:27:59.151531,2024-06-18 09:27:59.273899,0 days 00:00:00.122368,11246.613102062087,0.8591805209963149,,COMPLETE
17,17,0.8684090187774732,2024-06-18 09:27:59.275567,2024-06-18 09:27:59.389154,0 days 00:00:00.113587,0.3455461682991292,0.9739176070017136,,COMPLETE
18,18,0.9248021927672243,2024-06-18 09:27:59.394530,2024-06-18 09:27:59.530056,0 days 00:00:00.135526,0.3687194884801584,0.7119677402186283,,COMPLETE
19,19,1.1123729991041607,2024-06-18 09:27:59.532657,2024-06-18 09:27:59.643400,0 days 00:00:00.110743,41636.466300449145,0.37316184002328545,,COMPLETE
20,20,0.9375313159420958,2024-06-18 09:27:59.645090,2024-06-18 09:27:59.758298,0 days 00:00:00.113208,0.39099920271126454,0.8115417264819009,,COMPLETE
21,21,0.39921690368097745,2024-06-18 09:27:59.759892,2024-06-18 09:28:00.336055,0 days 00:00:00.576163,0.0010285208507070298,0.8953851081927043,,COMPLETE
22,22,0.3997329101944695,2024-06-18 09:28:00.340631,2024-06-18 09:28:00.905679,0 days 00:00:00.565048,0.0016405956571558826,0.9598090429674827,,COMPLETE
23,23,1.1123729991041607,2024-06-18 09:28:00.908159,2024-06-18 09:28:01.051275,0 days 00:00:00.143116,24.905972800424795,0.4140888419951797,,COMPLETE
24,24,0.4282352362383651,2024-06-18 09:28:01.052892,2024-06-18 09:28:01.327921,0 days 00:00:00.275029,0.008049836907219441,0.13406388122440638,,COMPLETE
25,25,1.1123729991041607,2024-06-18 09:28:01.332315,2024-06-18 09:28:01.450135,0 days 00:00:00.117820,8.938514028942032,0.6882033449058679,,COMPLETE
26,26,1.1123729991041607,2024-06-18 09:28:01.452392,2024-06-18 09:28:01.600740,0 days 00:00:00.148348,1504.6400203889987,0.18585658701148977,,COMPLETE
27,27,0.5358092648821081,2024-06-18 09:28:01.602593,2024-06-18 09:28:01.757258,0 days 00:00:00.154665,0.03549561357287715,0.28064449355245114,,COMPLETE
28,28,0.7150508257800141,2024-06-18 09:28:01.760457,2024-06-18 09:28:01.887934,0 days 00:00:00.127477,0.16133737035437096,0.5720215629914235,,COMPLETE
29,29,1.1123729991041607,2024-06-18 09:28:01.889575,2024-06-18 09:28:01.986703,0 days 00:00:00.097128,8397.708311950148,0.36922952130390196,,COMPLETE
30,30,1.029912940293897,2024-06-18 09:28:01.988384,2024-06-18 09:28:02.107092,0 days 00:00:00.118708,0.6843856882340561,0.3731752219361457,,COMPLETE
31,31,0.4022697776080972,2024-06-18 09:28:02.108675,2024-06-18 09:28:03.063517,0 days 00:00:00.954842,1.0944274958034472e-05,0.717710409056683,,COMPLETE
32,32,1.1123729991041607,2024-06-18 09:28:03.065098,2024-06-18 09:28:03.165717,0 days 00:00:00.100619,360.5067998240172,0.3592748590897187,,COMPLETE
33,33,1.1123729991041607,2024-06-18 09:28:03.167283,2024-06-18 09:28:03.277406,0 days 00:00:00.110123,6.8616381263093995,0.7695851298246401,,COMPLETE
34,34,1.1123729991041607,2024-06-18 09:28:03.279136,2024-06-18 09:28:03.384339,0 days 00:00:00.105203,879.512088832363,0.05446463859144135,,COMPLETE
35,35,0.7915112441895219,2024-06-18 09:28:03.385886,2024-06-18 09:28:03.499478,0 days 00:00:00.113592,0.23554841022231918,0.8132480231487998,,COMPLETE
36,36,0.570210199469837,2024-06-18 09:28:03.501309,2024-06-18 09:28:03.670749,0 days 00:00:00.169440,0.04925458146802835,0.18637154362275876,,COMPLETE
37,37,0.4496255171974134,2024-06-18 09:28:03.672416,2024-06-18 09:28:04.287149,0 days 00:00:00.614733,0.011749898671279391,0.00047097997353851007,,COMPLETE
38,38,0.7955803634749066,2024-06-18 09:28:04.288902,2024-06-18 09:28:04.407508,0 days 00:00:00.118606,0.24051730273524582,0.20371760904559144,,COMPLETE
39,39,1.1123729991041607,2024-06-18 09:28:04.409176,2024-06-18 09:28:04.529060,0 days 00:00:00.119884,53.93123554406033,0.1866607173604583,,COMPLETE
40,40,0.39894060210459525,2024-06-18 09:28:04.531499,2024-06-18 09:28:05.322449,0 days 00:00:00.790950,0.0004086158074615715,0.9086183029025339,,COMPLETE
41,41,0.3989265842572903,2024-06-18 09:28:05.324301,2024-06-18 09:28:06.257249,0 days 00:00:00.932948,0.00035192038331310026,0.9163686403764338,,COMPLETE
42,42,0.39888033226539943,2024-06-18 09:28:06.259014,2024-06-18 09:28:07.290532,0 days 00:00:01.031518,0.00018568414764570068,0.9060988421627182,,COMPLETE
43,43,0.39882169908982446,2024-06-18 09:28:07.292166,2024-06-18 09:28:08.407618,0 days 00:00:01.115452,0.00016699361924814201,0.9123471931724032,,COMPLETE
44,44,0.3988263552547962,2024-06-18 09:28:08.410540,2024-06-18 09:28:09.962776,0 days 00:00:01.552236,0.00018300388388022834,0.9185107110520216,,COMPLETE
45,45,0.3987370734818429,2024-06-18 09:28:09.967323,2024-06-18 09:28:11.350278,0 days 00:00:01.382955,0.00016130073834294854,0.9244835256654126,,COMPLETE
46,46,0.399896221398527,2024-06-18 09:28:11.352672,2024-06-18 09:28:12.945893,0 days 00:00:01.593221,7.160474968373419e-05,0.9354680953439172,,COMPLETE
47,47,0.4001773005073142,2024-06-18 09:28:12.948687,2024-06-18 09:28:14.474848,0 days 00:00:01.526161,4.3334213122742174e-05,0.8428035361423782,,COMPLETE
48,48,0.3990448872546038,2024-06-18 09:28:14.479685,2024-06-18 09:28:15.542598,0 days 00:00:01.062913,0.0001594232075119301,0.7594763401348688,,COMPLETE
49,49,0.4180539018261856,2024-06-18 09:28:15.546551,2024-06-18 09:28:15.831733,0 days 00:00:00.285182,0.005613383727138988,0.921834906196983,,COMPLETE
